order_item_id,order_id,product_id,quantity
1,377,40,1
2,456,30,1
3,897,43,2
4,199,10,1
5,393,36,4
6,912,16,4
7,390,46,2
8,395,30,4
9,822,28,2
10,157,13,2
11,370,50,1
12,112,42,3
13,67,50,1
14,893,28,3
15,963,12,2
16,477,45,4
17,803,36,2
18,986,36,5
19,571,33,5
20,101,30,4
21,275,42,1
22,9,23,3
23,728,17,5
24,846,15,2
25,614,2,3
26,384,20,1
27,981,34,1
28,230,24,4
29,731,38,5
30,804,22,3
31,790,6,5
32,838,36,4
33,942,27,3
34,548,43,1
35,836,45,2
36,106,33,5
37,252,10,1
38,83,5,3
39,389,39,4
40,20,19,3
41,378,42,5
42,112,13,4
43,965,13,2
44,384,28,5
45,494,29,5
46,351,33,4
47,401,29,3
48,648,26,4
49,949,19,5
50,332,24,3
51,530,14,4
52,132,2,2
53,224,31,2
54,556,44,3
55,979,41,3
56,133,28,1
57,969,21,1
58,449,44,5
59,291,25,3
60,973,49,4
61,37,50,3
62,619,32,2
63,136,17,2
64,681,38,3
65,322,31,3
66,346,9,5
67,911,8,1
68,745,14,1
69,957,49,5
70,106,13,1
71,674,7,3
72,484,4,1
73,719,1,2
74,750,24,2
75,449,41,2
76,407,45,1
77,906,3,1
78,1,36,4
79,345,50,3
80,919,37,1
81,334,20,3
82,340,36,4
83,728,43,2
84,818,19,4
85,749,47,1
86,840,48,1
87,700,35,3
88,573,20,4
89,57,12,1
90,258,7,5
91,391,8,5
92,723,25,2
93,560,15,2
94,614,34,3
95,480,7,2
96,956,37,5
97,445,3,4
98,558,31,4
99,747,19,5
100,799,38,4
101,756,29,5
102,16,34,5
103,293,9,1
104,732,50,1
105,727,46,2
106,521,28,2
107,868,17,4
108,835,15,1
109,168,16,4
110,818,38,3
111,407,30,3
112,808,30,4
113,43,14,5
114,357,18,5
115,594,41,5
116,941,26,2
117,222,46,3
118,193,5,5
119,612,2,4
120,780,22,1
121,181,39,1
122,14,48,2
123,806,16,5
124,470,21,3
125,985,18,4
126,735,12,3
127,52,12,1
128,160,29,2
129,539,1,4
130,419,50,3
131,744,19,2
132,566,1,1
133,59,24,2
134,341,27,2
135,519,30,1
136,442,20,1
137,440,45,2
138,536,24,2
139,33,25,5
140,703,26,1
141,72,15,4
142,994,49,4
143,1,20,2
144,635,45,3
145,372,22,5
146,453,12,2
147,399,17,2
148,467,9,3
149,32,37,3
150,199,42,5
151,573,12,3
152,544,20,1
153,869,23,3
154,178,26,1
155,792,11,2
156,367,4,5
157,548,19,1
158,949,19,1
159,288,7,4
160,641,21,2
161,670,4,1
162,315,8,1
163,234,32,5
164,923,31,2
165,512,18,4
166,690,48,3
167,4,12,1
168,721,48,2
169,920,5,3
170,882,32,3
171,353,35,1
172,41,27,2
173,266,27,5
174,23,13,5
175,4,17,2
176,675,9,1
177,168,2,4
178,261,23,2
179,914,37,2
180,351,32,5
181,111,1,4
182,1,23,5
183,735,24,2
184,775,16,3
185,694,13,3
186,560,12,2
187,52,26,1
188,986,31,3
189,569,42,4
190,123,32,4
191,603,15,2
192,78,38,4
193,827,8,1
194,94,18,3
195,337,17,5
196,795,3,4
197,96,11,2
198,82,4,5
199,350,26,4
200,758,21,1
201,675,38,4
202,794,24,3
203,275,10,1
204,689,14,4
205,554,19,3
206,269,26,2
207,857,27,1
208,45,24,1
209,240,20,4
210,893,6,5
211,650,39,2
212,815,22,2
213,710,7,1
214,912,45,2
215,573,47,1
216,72,46,3
217,22,26,2
218,409,15,2
219,127,18,5
220,950,3,2
221,289,8,4
222,962,2,2
223,976,34,2
224,38,5,5
225,68,42,4
226,296,49,3
227,196,30,5
228,602,22,2
229,148,47,3
230,326,44,2
231,519,16,2
232,782,42,2
233,474,49,2
234,366,5,3
235,21,47,3
236,643,32,1
237,397,17,2
238,223,5,4
239,364,14,5
240,753,42,3
241,649,9,5
242,382,10,3
243,312,50,2
244,775,36,5
245,250,49,3
246,809,43,4
247,373,31,3
248,148,29,3
249,403,11,1
250,72,46,3
251,919,18,5
252,839,39,2
253,848,35,3
254,646,49,5
255,972,30,1
256,222,46,4
257,144,4,4
258,862,21,3
259,387,8,5
260,402,47,2
261,426,7,3
262,74,43,2
263,516,16,1
264,529,4,4
265,786,19,2
266,727,22,3
267,368,21,3
268,772,46,3
269,470,10,4
270,480,17,4
271,989,43,4
272,238,32,4
273,597,8,4
274,853,20,1
275,607,3,1
276,920,4,4
277,308,23,5
278,800,31,2
279,479,35,2
280,876,43,4
281,865,1,5
282,207,11,3
283,562,47,4
284,174,44,4
285,811,17,2
286,748,30,4
287,808,29,4
288,875,10,2
289,292,17,2
290,796,23,4
291,720,10,2
292,980,39,5
293,957,22,3
294,538,29,5
295,250,25,3
296,869,36,3
297,857,40,5
298,282,41,4
299,210,37,2
300,758,34,1
301,764,20,5
302,734,45,1
303,303,5,5
304,943,3,2
305,701,39,1
306,207,6,2
307,603,20,4
308,35,25,5
309,486,44,1
310,972,48,5
311,591,49,4
312,198,12,4
313,466,28,2
314,499,38,5
315,987,24,4
316,830,17,3
317,707,47,1
318,910,21,1
319,477,36,2
320,755,3,3
321,507,6,2
322,61,9,1
323,579,21,1
324,945,6,1
325,910,29,3
326,433,26,1
327,856,3,1
328,654,22,2
329,594,10,1
330,850,20,2
331,554,40,3
332,468,32,3
333,160,7,4
334,866,24,4
335,943,29,1
336,157,12,1
337,801,13,4
338,692,27,3
339,41,46,3
340,389,35,4
341,368,47,3
342,662,17,5
343,401,41,2
344,529,4,2
345,209,11,4
346,467,42,2
347,601,18,4
348,706,19,5
349,529,14,2
350,245,35,3
351,604,23,1
352,612,13,5
353,915,45,3
354,958,2,5
355,2,18,5
356,142,38,5
357,948,2,2
358,39,45,1
359,572,7,4
360,477,27,3
361,970,40,5
362,726,39,4
363,315,45,1
364,850,29,3
365,198,41,5
366,983,36,5
367,25,37,3
368,218,47,5
369,459,21,3
370,719,47,2
371,524,8,2
372,691,24,5
373,68,29,1
374,478,48,4
375,8,11,4
376,98,24,2
377,724,45,3
378,458,18,5
379,121,22,4
380,797,2,4
381,745,43,4
382,559,47,4
383,831,22,2
384,722,28,5
385,310,6,4
386,222,45,5
387,301,40,2
388,137,11,3
389,416,1,5
390,436,22,5
391,922,41,1
392,59,37,2
393,566,22,2
394,903,28,1
395,585,23,2
396,840,31,4
397,871,25,2
398,862,24,4
399,290,23,5
400,489,42,2
401,127,10,1
402,945,7,2
403,242,2,5
404,388,3,3
405,238,43,1
406,537,7,2
407,73,49,1
408,382,33,4
409,262,18,2
410,659,21,3
411,864,39,1
412,726,21,1
413,316,49,3
414,889,36,1
415,179,13,4
416,897,38,4
417,978,28,1
418,828,40,2
419,185,49,1
420,368,49,5
421,798,37,2
422,106,34,1
423,159,13,3
424,85,31,2
425,510,39,1
426,798,44,5
427,612,17,1
428,306,30,4
429,105,12,3
430,570,31,1
431,804,4,2
432,772,15,4
433,167,11,5
434,387,50,1
435,316,32,5
436,129,2,1
437,281,48,5
438,789,44,1
439,807,31,5
440,918,19,4
441,349,21,1
442,775,22,2
443,637,40,5
444,166,48,5
445,702,19,5
446,970,11,4
447,160,20,3
448,768,5,2
449,857,16,4
450,918,3,1
451,633,30,3
452,491,10,2
453,791,14,3
454,685,36,4
455,601,9,2
456,689,31,2
457,217,29,4
458,230,6,3
459,911,7,5
460,161,46,5
461,609,37,5
462,26,23,5
463,186,37,3
464,367,30,2
465,169,49,5
466,287,1,3
467,80,43,4
468,837,31,1
469,418,12,4
470,958,44,5
471,111,12,4
472,838,13,3
473,801,12,5
474,235,19,4
475,616,3,2
476,521,6,4
477,326,10,1
478,200,16,2
479,575,4,3
480,684,30,2
481,371,2,4
482,726,21,4
483,704,28,1
484,164,37,4
485,486,8,3
486,527,45,3
487,761,8,4
488,501,37,4
489,530,32,5
490,836,21,4
491,192,33,5
492,284,42,5
493,697,24,2
494,868,46,2
495,390,28,1
496,401,49,5
497,692,48,2
498,553,21,4
499,940,31,1
500,503,5,2
501,819,12,1
502,320,30,2
503,416,38,2
504,874,44,5
505,619,44,2
506,684,12,2
507,142,37,1
508,781,50,3
509,180,42,5
510,462,42,4
511,146,43,1
512,366,15,5
513,96,42,3
514,623,8,5
515,386,4,4
516,547,35,4
517,340,6,1
518,485,24,4
519,490,48,4
520,707,7,1
521,161,49,3
522,19,1,3
523,744,40,2
524,851,32,5
525,564,38,4
526,957,32,1
527,729,17,1
528,311,25,3
529,521,8,1
530,605,38,5
531,408,19,3
532,487,44,3
533,494,40,3
534,446,4,5
535,807,32,4
536,257,37,3
537,108,20,5
538,81,32,5
539,768,2,5
540,224,16,2
541,295,11,2
542,792,40,1
543,785,42,3
544,933,29,4
545,743,40,3
546,964,33,5
547,885,46,3
548,72,31,2
549,187,47,5
550,892,3,2
551,360,22,5
552,737,3,5
553,818,33,5
554,666,7,1
555,941,39,5
556,302,7,1
557,32,49,5
558,640,13,1
559,353,18,2
560,646,48,1
561,281,21,1
562,876,24,3
563,847,12,2
564,156,45,4
565,824,12,3
566,36,34,1
567,844,1,5
568,444,8,4
569,367,4,3
570,961,32,2
571,6,49,3
572,64,47,5
573,425,26,4
574,948,14,3
575,503,44,2
576,669,38,3
577,644,1,1
578,765,12,4
579,832,41,5
580,96,9,1
581,51,15,2
582,162,26,2
583,265,4,1
584,52,18,5
585,284,50,1
586,792,46,2
587,254,43,1
588,36,43,1
589,814,35,5
590,980,44,1
591,504,22,5
592,538,20,1
593,983,49,1
594,776,9,1
595,725,31,5
596,543,39,3
597,34,34,4
598,926,33,2
599,810,9,4
600,363,34,3
601,719,45,3
602,590,9,5
603,814,23,5
604,733,9,2
605,279,42,4
606,305,17,4
607,121,43,5
608,705,45,5
609,863,45,5
610,519,36,5
611,145,37,4
612,950,26,4
613,513,41,2
614,601,43,2
615,628,30,5
616,311,2,4
617,648,24,5
618,288,30,3
619,943,21,5
620,829,10,4
621,9,8,5
622,119,39,2
623,712,31,2
624,806,19,1
625,855,4,3
626,104,10,5
627,791,11,4
628,264,12,3
629,952,1,2
630,128,12,3
631,368,42,5
632,122,32,5
633,877,16,4
634,501,6,3
635,161,46,3
636,754,47,1
637,485,7,3
638,715,10,1
639,261,24,4
640,805,43,2
641,557,41,3
642,779,33,4
643,577,40,2
644,240,46,3
645,211,18,2
