order_id,customer_id,order_date,order_status
1,125,2023-05-22,Delivered
2,37,2024-07-27,Delivered
3,92,2024-04-11,Delivered
4,163,2024-08-30,Delivered
5,179,2024-11-17,Delivered
6,194,2023-09-18,Returned
7,21,2024-04-17,Delivered
8,140,2024-06-22,Delivered
9,243,2023-04-11,Delivered
10,76,2023-02-08,Delivered
11,11,2023-03-13,Delivered
12,116,2024-07-31,Delivered
13,205,2024-10-22,Delivered
14,246,2024-04-12,Delivered
15,139,2023-01-23,Delivered
16,82,2023-05-18,Delivered
17,101,2023-04-05,Delivered
18,221,2023-09-19,Delivered
19,12,2023-03-14,Delivered
20,134,2023-05-03,Delivered
21,220,2023-12-09,Delivered
22,79,2024-04-27,Delivered
23,184,2024-04-24,Delivered
24,103,2023-09-02,Delivered
25,218,2023-11-17,Delivered
26,126,2023-09-13,Delivered
27,113,2023-07-13,Delivered
28,151,2024-05-02,Delivered
29,124,2024-06-26,Delivered
30,243,2023-08-12,Delivered
31,9,2024-06-26,Delivered
32,36,2023-10-29,Delivered
33,134,2023-11-18,Delivered
34,111,2024-08-17,Delivered
35,155,2024-06-16,Delivered
36,136,2023-05-06,Delivered
37,207,2023-08-11,Delivered
38,142,2023-06-24,Delivered
39,207,2023-04-24,Delivered
40,207,2024-03-01,Delivered
41,2,2023-09-08,Delivered
42,68,2023-06-23,Delivered
43,234,2024-01-19,Delivered
44,43,2023-02-07,Delivered
45,216,2024-10-08,Delivered
46,144,2023-04-29,Cancelled
47,141,2024-11-14,Delivered
48,246,2024-04-23,Delivered
49,132,2024-10-07,Cancelled
50,245,2023-07-14,Delivered
51,249,2024-05-08,Delivered
52,24,2023-06-22,Delivered
53,72,2023-07-29,Delivered
54,159,2024-10-23,Delivered
55,237,2023-09-23,Delivered
56,180,2024-07-13,Delivered
57,163,2024-06-13,Delivered
58,61,2024-05-22,Delivered
59,139,2023-12-27,Delivered
60,101,2024-04-20,Delivered
61,9,2023-01-16,Delivered
62,143,2023-04-02,Delivered
63,160,2023-07-02,Delivered
64,43,2024-07-26,Delivered
65,194,2023-12-12,Delivered
66,166,2024-11-02,Delivered
67,24,2023-01-20,Delivered
68,192,2023-05-14,Returned
69,146,2024-06-13,Delivered
70,211,2024-04-30,Cancelled
71,39,2023-11-27,Delivered
72,141,2023-04-29,Delivered
73,209,2024-01-24,Delivered
74,179,2024-05-24,Delivered
75,172,2024-08-03,Delivered
76,242,2023-12-31,Delivered
77,175,2024-08-28,Delivered
78,65,2023-09-01,Delivered
79,225,2023-09-08,Returned
80,153,2024-08-13,Delivered
81,146,2023-07-03,Delivered
82,137,2023-01-11,Returned
83,88,2023-06-29,Delivered
84,152,2023-04-10,Delivered
85,121,2023-06-12,Delivered
86,129,2024-11-09,Delivered
87,18,2023-05-11,Delivered
88,136,2023-11-15,Delivered
89,241,2023-09-16,Delivered
90,156,2023-10-30,Returned
91,98,2024-10-10,Delivered
92,114,2024-08-24,Delivered
93,59,2023-11-29,Delivered
94,18,2024-01-30,Returned
95,113,2024-03-30,Delivered
96,213,2023-11-01,Delivered
97,190,2024-09-28,Delivered
98,76,2023-11-17,Delivered
99,27,2024-09-19,Delivered
100,53,2023-08-07,Returned
101,76,2024-02-18,Delivered
102,178,2024-11-11,Delivered
103,205,2023-04-14,Delivered
104,33,2024-09-07,Delivered
105,138,2024-02-09,Delivered
106,141,2023-11-07,Cancelled
107,138,2024-01-23,Delivered
108,89,2024-04-08,Delivered
109,131,2023-11-06,Delivered
110,160,2023-07-20,Delivered
111,218,2024-03-16,Delivered
112,33,2024-03-31,Returned
113,163,2024-05-23,Delivered
114,157,2023-11-11,Delivered
115,205,2024-09-02,Delivered
116,144,2023-11-02,Delivered
117,58,2024-10-06,Cancelled
118,226,2024-06-07,Delivered
119,171,2024-09-21,Delivered
120,213,2023-12-26,Delivered
121,135,2023-08-14,Delivered
122,135,2024-03-15,Delivered
123,229,2024-01-08,Delivered
124,205,2023-09-07,Delivered
125,97,2023-12-31,Cancelled
126,222,2023-01-30,Delivered
127,56,2023-06-29,Delivered
128,101,2024-04-29,Returned
129,41,2024-03-21,Delivered
130,96,2023-02-01,Delivered
131,26,2023-04-30,Delivered
132,32,2024-04-13,Delivered
133,163,2024-06-12,Returned
134,161,2023-04-11,Delivered
135,83,2023-11-15,Cancelled
136,25,2023-03-09,Delivered
137,169,2023-06-04,Delivered
138,106,2023-04-12,Delivered
139,212,2023-07-15,Cancelled
140,142,2024-05-12,Delivered
141,47,2023-05-08,Delivered
142,61,2023-06-02,Delivered
143,244,2023-04-12,Cancelled
144,141,2024-03-09,Delivered
145,34,2023-04-04,Delivered
146,119,2024-03-09,Cancelled
147,17,2024-03-28,Delivered
148,115,2024-05-01,Delivered
149,26,2023-02-18,Delivered
150,110,2024-10-17,Delivered
151,183,2024-07-12,Delivered
152,109,2023-04-22,Delivered
153,44,2023-01-12,Delivered
154,155,2024-09-12,Delivered
155,67,2024-03-21,Delivered
156,178,2023-08-20,Delivered
157,193,2023-03-19,Delivered
158,163,2023-03-26,Delivered
159,159,2023-09-28,Delivered
160,220,2024-09-21,Cancelled
161,80,2023-08-28,Delivered
162,155,2024-06-20,Delivered
163,108,2023-09-17,Delivered
164,157,2023-09-15,Delivered
165,75,2024-02-28,Delivered
166,223,2023-09-24,Delivered
167,239,2024-08-27,Delivered
168,92,2024-06-13,Delivered
169,68,2023-11-15,Delivered
170,156,2023-09-10,Delivered
171,51,2024-09-07,Delivered
172,179,2023-11-22,Delivered
173,246,2024-10-15,Delivered
174,87,2024-02-20,Delivered
175,157,2024-04-17,Delivered
176,173,2023-04-20,Returned
177,223,2024-03-16,Delivered
178,116,2024-08-21,Delivered
179,97,2024-01-02,Delivered
180,92,2024-01-31,Delivered
181,203,2023-09-15,Delivered
182,3,2024-01-04,Delivered
183,12,2024-09-09,Delivered
184,182,2023-10-29,Delivered
185,140,2023-02-25,Delivered
186,85,2024-03-18,Delivered
187,77,2023-09-21,Delivered
188,56,2023-03-01,Delivered
189,46,2023-02-20,Delivered
190,240,2024-09-25,Delivered
191,27,2024-09-19,Delivered
192,163,2024-09-24,Delivered
193,33,2023-04-21,Cancelled
194,59,2023-04-30,Delivered
195,18,2023-04-18,Delivered
196,19,2024-08-26,Cancelled
197,185,2024-02-02,Delivered
198,113,2024-07-29,Delivered
199,194,2023-10-21,Delivered
200,95,2024-07-24,Delivered
201,204,2024-03-27,Delivered
202,14,2024-02-29,Delivered
203,69,2024-10-16,Cancelled
204,138,2023-06-18,Delivered
205,184,2023-02-19,Delivered
206,248,2024-08-10,Delivered
207,123,2024-03-27,Delivered
208,38,2023-01-01,Delivered
209,200,2023-04-07,Delivered
210,111,2023-07-16,Delivered
211,190,2024-04-18,Delivered
212,39,2023-07-30,Delivered
213,196,2023-10-30,Delivered
214,27,2023-07-17,Delivered
215,20,2024-01-04,Delivered
216,20,2023-01-11,Delivered
217,172,2023-04-05,Delivered
218,57,2023-07-19,Delivered
219,24,2023-11-07,Delivered
220,29,2024-07-10,Delivered
221,58,2024-04-20,Delivered
222,202,2023-05-21,Delivered
223,50,2024-07-19,Delivered
224,31,2024-02-04,Delivered
225,166,2024-04-27,Delivered
226,49,2023-07-02,Cancelled
227,122,2023-03-08,Cancelled
228,153,2023-05-19,Delivered
229,74,2024-07-01,Delivered
230,143,2023-12-20,Delivered
231,58,2023-10-10,Delivered
232,236,2023-02-04,Cancelled
233,39,2023-10-02,Delivered
234,228,2023-04-16,Delivered
235,32,2023-09-22,Returned
236,211,2024-02-29,Delivered
237,81,2023-10-18,Delivered
238,249,2023-02-18,Cancelled
239,75,2024-03-21,Delivered
240,52,2024-10-31,Delivered
241,139,2023-01-12,Delivered
242,81,2023-07-26,Delivered
243,216,2023-11-23,Delivered
244,128,2024-06-17,Delivered
245,175,2023-12-09,Delivered
246,158,2023-08-13,Delivered
247,216,2024-08-12,Delivered
248,240,2024-05-15,Delivered
249,16,2024-10-02,Delivered
250,224,2024-01-07,Delivered
251,241,2023-09-18,Delivered
252,135,2023-12-19,Delivered
253,138,2023-03-24,Delivered
254,228,2023-01-22,Delivered
255,239,2023-02-23,Delivered
256,11,2024-04-28,Delivered
257,169,2024-04-29,Delivered
258,183,2024-10-22,Cancelled
259,246,2023-05-05,Delivered
260,63,2024-03-08,Delivered
261,54,2023-10-12,Returned
262,118,2023-01-10,Delivered
263,190,2024-06-24,Delivered
264,45,2024-02-08,Cancelled
265,243,2024-10-20,Delivered
266,51,2024-09-08,Delivered
267,79,2024-03-17,Delivered
268,211,2024-03-22,Delivered
269,52,2023-04-02,Delivered
270,218,2024-01-12,Cancelled
271,156,2024-07-10,Delivered
272,147,2024-05-16,Delivered
273,82,2023-09-02,Delivered
274,207,2023-12-05,Delivered
275,220,2023-07-19,Delivered
276,48,2023-03-23,Delivered
277,57,2023-08-19,Cancelled
278,160,2024-02-21,Delivered
279,117,2023-02-13,Returned
280,219,2023-10-25,Delivered
281,162,2023-02-17,Delivered
282,228,2024-04-20,Delivered
283,208,2023-03-10,Delivered
284,228,2024-06-21,Delivered
285,191,2023-11-18,Delivered
286,31,2023-10-14,Delivered
287,15,2024-06-18,Cancelled
288,64,2023-11-30,Delivered
289,234,2023-11-22,Returned
290,68,2024-09-20,Delivered
291,4,2023-10-18,Cancelled
292,145,2023-10-08,Delivered
293,72,2024-04-15,Returned
294,193,2023-03-18,Delivered
295,33,2023-09-30,Delivered
296,102,2023-01-09,Delivered
297,247,2023-04-06,Delivered
298,104,2024-07-26,Delivered
299,190,2024-07-26,Delivered
300,15,2023-01-17,Returned
301,11,2024-10-03,Delivered
302,34,2023-01-20,Delivered
303,14,2023-01-19,Delivered
304,28,2024-03-30,Delivered
305,51,2024-08-31,Delivered
306,52,2023-08-13,Delivered
307,116,2023-02-03,Delivered
308,80,2024-06-21,Returned
309,123,2024-04-04,Delivered
310,178,2023-04-09,Cancelled
311,248,2024-02-14,Delivered
312,230,2023-04-18,Delivered
313,62,2023-12-31,Delivered
314,2,2023-07-10,Delivered
315,131,2023-09-04,Returned
316,13,2023-11-09,Delivered
317,53,2023-01-04,Returned
318,80,2023-06-20,Delivered
319,194,2024-03-29,Returned
320,225,2024-03-17,Delivered
321,87,2023-12-26,Delivered
322,152,2023-09-08,Cancelled
323,21,2023-05-22,Delivered
324,11,2024-06-07,Delivered
325,201,2023-06-03,Delivered
326,221,2024-04-05,Delivered
327,222,2023-12-14,Delivered
328,155,2023-06-27,Delivered
329,159,2023-06-23,Delivered
330,218,2024-06-04,Delivered
331,225,2023-07-14,Delivered
332,16,2023-05-12,Returned
333,176,2023-04-14,Delivered
334,32,2024-01-12,Delivered
335,31,2023-05-19,Delivered
336,221,2024-08-31,Delivered
337,235,2023-10-27,Returned
338,237,2023-01-24,Delivered
339,121,2023-12-15,Delivered
340,140,2023-11-18,Delivered
341,102,2023-08-24,Delivered
342,25,2024-02-09,Delivered
343,202,2024-06-14,Delivered
344,232,2023-11-21,Delivered
345,51,2023-09-18,Delivered
346,24,2023-05-22,Delivered
347,117,2023-06-14,Delivered
348,58,2024-02-21,Delivered
349,39,2024-06-13,Delivered
350,147,2023-01-26,Returned
351,220,2024-09-18,Delivered
352,45,2023-01-16,Delivered
353,229,2023-05-18,Delivered
354,80,2023-06-08,Delivered
355,7,2023-10-29,Delivered
356,42,2024-06-18,Delivered
357,120,2023-01-26,Delivered
358,175,2024-08-31,Delivered
359,94,2023-02-15,Delivered
360,225,2024-10-24,Delivered
361,134,2024-08-25,Delivered
362,116,2023-01-12,Delivered
363,81,2023-05-04,Delivered
364,138,2023-02-25,Delivered
365,60,2023-08-25,Delivered
366,37,2023-12-18,Cancelled
367,99,2024-08-28,Delivered
368,191,2024-03-23,Delivered
369,50,2024-10-22,Delivered
370,241,2023-05-24,Cancelled
371,102,2023-02-03,Delivered
372,35,2023-04-08,Delivered
373,151,2024-02-17,Delivered
374,45,2023-04-07,Delivered
375,246,2023-12-20,Delivered
376,117,2023-02-12,Delivered
377,33,2023-08-07,Delivered
378,196,2024-08-16,Delivered
379,231,2023-12-09,Delivered
380,57,2023-05-10,Delivered
381,199,2024-02-09,Cancelled
382,221,2023-11-25,Delivered
383,52,2024-01-06,Delivered
384,188,2023-02-24,Delivered
385,225,2024-05-11,Returned
386,186,2024-04-30,Delivered
387,166,2023-05-07,Delivered
388,233,2023-10-04,Delivered
389,162,2024-01-10,Delivered
390,87,2024-07-21,Delivered
391,153,2024-07-23,Delivered
392,140,2023-01-17,Delivered
393,84,2023-09-17,Delivered
394,100,2023-03-20,Delivered
395,236,2024-10-04,Cancelled
396,38,2023-07-01,Delivered
397,41,2023-04-22,Delivered
398,41,2023-01-02,Delivered
399,184,2023-05-01,Delivered
400,137,2023-05-21,Delivered
401,65,2023-04-30,Delivered
402,55,2023-10-23,Delivered
403,5,2024-06-25,Delivered
404,55,2024-06-05,Delivered
405,163,2023-03-09,Delivered
406,96,2023-05-16,Delivered
407,232,2023-05-14,Delivered
408,242,2023-08-10,Delivered
409,206,2024-06-18,Cancelled
410,178,2024-01-22,Delivered
411,204,2024-06-29,Delivered
412,102,2023-02-17,Delivered
413,4,2024-01-04,Delivered
414,44,2023-10-21,Delivered
415,134,2023-11-29,Delivered
416,39,2023-09-20,Delivered
417,115,2024-03-16,Delivered
418,231,2023-03-14,Delivered
419,41,2024-09-20,Delivered
420,218,2024-10-05,Cancelled
421,80,2023-09-19,Delivered
422,114,2024-02-18,Delivered
423,71,2024-04-23,Delivered
424,157,2023-08-22,Delivered
425,14,2024-11-08,Delivered
426,6,2023-10-19,Delivered
427,94,2024-04-09,Delivered
428,106,2023-02-19,Delivered
429,68,2023-08-14,Delivered
430,131,2024-04-21,Cancelled
431,217,2024-11-20,Delivered
432,100,2024-07-10,Delivered
433,119,2023-04-22,Delivered
434,194,2024-09-06,Delivered
435,66,2023-10-21,Delivered
436,154,2023-11-09,Delivered
437,12,2023-09-07,Delivered
438,7,2023-11-17,Delivered
439,63,2023-05-11,Delivered
440,100,2023-01-05,Delivered
441,100,2024-05-30,Delivered
442,98,2023-12-29,Delivered
443,187,2023-11-06,Delivered
444,128,2024-07-29,Delivered
445,12,2024-11-08,Returned
446,64,2024-08-09,Delivered
447,207,2023-07-05,Delivered
448,161,2024-06-29,Cancelled
449,105,2024-08-10,Delivered
450,186,2024-09-23,Delivered
451,29,2023-01-07,Delivered
452,146,2024-06-14,Delivered
453,128,2024-02-22,Delivered
454,8,2023-06-30,Delivered
455,208,2023-05-11,Delivered
456,4,2024-05-20,Delivered
457,23,2024-10-05,Cancelled
458,109,2024-09-23,Delivered
459,159,2024-06-17,Delivered
460,48,2024-05-25,Delivered
461,14,2024-01-24,Delivered
462,208,2023-06-06,Delivered
463,69,2023-08-11,Delivered
464,120,2024-03-25,Delivered
465,240,2024-01-30,Delivered
466,43,2024-10-05,Delivered
467,111,2024-04-30,Cancelled
468,115,2024-09-02,Delivered
469,74,2023-04-04,Delivered
470,214,2023-08-10,Delivered
471,195,2023-10-24,Delivered
472,165,2024-09-10,Returned
473,101,2024-03-25,Delivered
474,90,2023-06-26,Delivered
475,236,2024-08-28,Delivered
476,205,2023-08-04,Delivered
477,19,2023-05-11,Delivered
478,181,2024-02-10,Delivered
479,242,2024-08-27,Delivered
480,225,2023-06-20,Delivered
481,23,2023-08-14,Delivered
482,247,2023-05-02,Delivered
483,145,2023-10-07,Delivered
484,126,2023-04-03,Delivered
485,8,2024-11-17,Delivered
486,192,2024-09-26,Delivered
487,158,2023-07-05,Delivered
488,76,2023-06-25,Delivered
489,246,2023-11-25,Delivered
490,129,2023-07-13,Delivered
491,125,2024-02-18,Delivered
492,84,2023-06-04,Delivered
493,204,2023-02-05,Delivered
494,229,2023-09-22,Delivered
495,220,2023-03-14,Delivered
496,96,2024-09-18,Returned
497,74,2024-02-25,Delivered
498,232,2024-08-09,Delivered
499,93,2024-10-11,Delivered
500,85,2023-02-17,Delivered
501,162,2023-10-02,Delivered
502,83,2023-04-29,Cancelled
503,140,2023-04-30,Returned
504,29,2023-08-01,Delivered
505,17,2024-01-17,Delivered
506,67,2023-01-30,Delivered
507,214,2023-07-22,Cancelled
508,131,2023-03-15,Delivered
509,213,2024-10-20,Delivered
510,238,2024-09-28,Delivered
511,236,2023-01-16,Delivered
512,30,2024-08-12,Delivered
513,233,2023-12-12,Delivered
514,243,2023-10-20,Cancelled
515,80,2024-01-23,Delivered
516,27,2023-12-30,Cancelled
517,90,2024-11-16,Delivered
518,162,2024-10-12,Delivered
519,18,2023-02-20,Delivered
520,90,2023-10-25,Delivered
521,191,2023-02-09,Delivered
522,157,2023-06-18,Returned
523,216,2023-03-09,Delivered
524,130,2024-09-30,Delivered
525,189,2023-03-02,Delivered
526,155,2023-12-06,Delivered
527,20,2023-11-03,Delivered
528,125,2024-10-03,Delivered
529,165,2024-01-27,Delivered
530,194,2024-03-31,Delivered
531,219,2023-04-09,Delivered
532,84,2023-10-23,Delivered
533,119,2023-11-07,Delivered
534,185,2024-06-04,Delivered
535,150,2023-10-01,Returned
536,129,2023-02-16,Delivered
537,95,2024-01-10,Delivered
538,91,2024-03-23,Delivered
539,199,2023-05-22,Delivered
540,47,2024-06-30,Delivered
541,198,2024-03-21,Delivered
542,134,2024-03-07,Delivered
543,67,2023-01-30,Delivered
544,103,2023-03-25,Delivered
545,127,2024-01-06,Delivered
546,150,2023-10-21,Delivered
547,167,2024-01-31,Delivered
548,139,2024-11-04,Delivered
549,79,2024-11-03,Delivered
550,20,2024-04-22,Delivered
551,234,2023-03-25,Cancelled
552,57,2023-01-29,Delivered
553,118,2024-04-06,Delivered
554,50,2024-11-20,Cancelled
555,143,2024-06-15,Delivered
556,168,2024-08-03,Delivered
557,3,2023-11-12,Delivered
558,220,2023-10-06,Delivered
559,111,2023-03-11,Cancelled
560,60,2024-10-28,Returned
561,65,2023-02-16,Returned
562,214,2024-03-12,Delivered
563,81,2024-03-09,Returned
564,27,2023-10-04,Delivered
565,150,2024-01-05,Returned
566,187,2024-02-17,Returned
567,29,2024-06-07,Delivered
568,115,2023-12-25,Delivered
569,137,2023-04-26,Cancelled
570,38,2023-10-14,Delivered
571,103,2023-10-31,Delivered
572,222,2023-05-31,Returned
573,230,2023-01-14,Delivered
574,214,2023-10-02,Delivered
575,33,2024-11-16,Returned
576,211,2024-07-20,Delivered
577,41,2024-11-21,Delivered
578,161,2024-04-22,Delivered
579,206,2024-03-30,Delivered
580,213,2024-05-12,Delivered
581,132,2024-05-20,Delivered
582,147,2024-08-11,Delivered
583,104,2024-11-13,Delivered
584,153,2024-04-14,Delivered
585,231,2024-10-25,Delivered
586,126,2023-12-14,Delivered
587,3,2024-01-17,Delivered
588,196,2023-10-26,Delivered
589,49,2024-11-11,Delivered
590,233,2024-10-17,Delivered
591,16,2024-07-07,Delivered
592,127,2024-05-29,Delivered
593,18,2024-02-06,Cancelled
594,67,2023-11-08,Cancelled
595,117,2023-03-11,Delivered
596,67,2024-06-17,Cancelled
597,52,2024-02-21,Delivered
598,11,2023-07-24,Delivered
599,19,2024-08-03,Delivered
600,44,2023-05-22,Delivered
601,53,2023-12-01,Delivered
602,9,2023-11-17,Delivered
603,122,2024-05-18,Delivered
604,205,2023-12-12,Delivered
605,91,2024-05-01,Delivered
606,8,2023-04-24,Returned
607,221,2024-01-30,Delivered
608,148,2023-07-03,Cancelled
609,55,2024-06-27,Delivered
610,115,2023-04-02,Returned
611,224,2023-10-15,Delivered
612,32,2023-10-09,Delivered
613,221,2023-05-03,Delivered
614,148,2023-08-02,Delivered
615,132,2024-04-08,Delivered
616,104,2024-05-07,Delivered
617,202,2023-11-10,Delivered
618,79,2024-04-23,Delivered
619,58,2023-04-04,Delivered
620,194,2023-10-04,Delivered
621,242,2024-07-17,Cancelled
622,125,2024-05-05,Delivered
623,45,2024-04-03,Delivered
624,224,2023-01-14,Delivered
625,211,2023-02-10,Delivered
626,107,2023-10-13,Delivered
627,41,2023-11-13,Returned
628,227,2023-07-30,Delivered
629,245,2023-11-04,Delivered
630,51,2023-12-11,Delivered
631,226,2024-06-08,Cancelled
632,53,2024-06-05,Delivered
633,75,2024-09-23,Returned
634,205,2024-04-30,Delivered
635,193,2023-10-27,Delivered
636,201,2023-12-01,Returned
637,98,2024-02-09,Delivered
