product_id,product_name,category,price
1,Product_1,Clothing,3922.49
2,Product_2,Grocery,1001.61
3,Product_3,Clothing,4999.58
4,Product_4,Beauty,596.83
5,Product_5,Electronics,4474.54
6,Product_6,Electronics,1869.44
7,Product_7,Grocery,1869.64
8,Product_8,Grocery,2112.66
9,Product_9,Beauty,1373.92
10,Product_10,Beauty,4334.01
11,Product_11,Beauty,692.67
12,Product_12,Grocery,1505.8
13,Product_13,Grocery,2253.59
14,Product_14,Clothing,126.22
15,Product_15,Electronics,3134.66
16,Product_16,Home,4202.84
17,Product_17,Grocery,4720.59
18,Product_18,Clothing,4119.37
19,Product_19,Clothing,1998.34
20,Product_20,Home,1127.31
21,Product_21,Electronics,4057.6
22,Product_22,Clothing,4034.41
23,Product_23,Electronics,955.79
24,Product_24,Grocery,2164.38
25,Product_25,Home,4157.53
26,Product_26,Electronics,4381.17
27,Product_27,Electronics,3977.05
28,Product_28,Home,1403.96
29,Product_29,Electronics,3226.74
30,Product_30,Beauty,3600.13
31,Product_31,Grocery,1625.89
32,Product_32,Beauty,3943.0
33,Product_33,Grocery,4966.02
34,Product_34,Clothing,1609.76
35,Product_35,Clothing,2192.18
36,Product_36,Home,320.34
37,Product_37,Electronics,4343.9
38,Product_38,Clothing,933.75
39,Product_39,Electronics,2794.41
40,Product_40,Electronics,2299.98
41,Product_41,Clothing,2063.52
42,Product_42,Home,3584.59
43,Product_43,Grocery,465.57
44,Product_44,Clothing,539.49
45,Product_45,Electronics,4700.73
46,Product_46,Grocery,3536.4
47,Product_47,Clothing,3408.52
48,Product_48,Clothing,4291.02
49,Product_49,Beauty,583.2
50,Product_50,Electronics,4203.51
